Serial number,Price,Area(house sq.ft),Location
466,5800000,540,Ulwe
467,6200000,1135,Ulwe
468,27500000,3000,Sector-3 Ulwe
469,15500000,1500,Sector-3 Ulwe
470,13799999,1440,Sector-3 Ulwe
471,3400000,704,Dronagiri
472,3500000,688,Dronagiri
473,5200000,667,Sector 17 Ulwe
474,2400000,625,Dronagiri
475,4900000,650,Sector 23 Ulwe
476,4500000,610,Ulwe
477,14500000,1560,Ulwe
478,8200000,1150,Sector 17 Ulwe
479,29500000,2130,Nerul
480,4900000,665,Sector 17 Ulwe
481,5000000,1155,Dronagiri
482,5300000,1120,Dronagiri
483,7000000,1000,Sector 17 Ulwe
484,3588000,690,Sector 23 Ulwe
485,3800000,655,Sector 17 Ulwe
486,3500000,655,Sector 17 Ulwe
487,3700000,650,ULWE SECTOR 19
488,8500000,1220,Ulwe
489,4900000,700,Ulwe
490,5400000,547,Ghodbunder Road
491,60100000,1435,Juhu
492,3000000,650,Dronagiri
493,3650000,665,Dronagiri
494,4200000,690,Dronagiri
495,3001000,675,Dronagiri
496,6800000,1250,Panvel
497,3300000,625,Karanjade
498,2850000,530,Karanjade
499,2100000,395,Karanjade
500,6300000,1090,Karanjade
501,6400000,1010,Karanjade
502,6000000,1010,Karanjade
503,4000000,568,Bhiwandi
504,7500000,1107,Vasai
505,2580000,605,Nala Sopara
506,3594000,850,Nala Sopara
507,5760000,778,Vasai
508,6952000,802,Bhiwandi
509,2451000,570,Nala Sopara
510,6137000,829,Bhiwandi
511,5600000,710,Mira Road East
512,8600000,1227,Bhiwandi
513,8100000,1108,Bhiwandi
514,8100000,1032,Bhiwandi
515,7500000,985,Bhiwandi
516,6800000,880,Bhiwandi
517,6200000,829,Bhiwandi
518,5600000,802,Bhiwandi
519,6000000,709,Nala Sopara
520,4100000,534,Nala Sopara
521,4800000,965,Nala Sopara
522,3700000,730,Nala Sopara
523,4600000,930,Vasai
524,3350000,650,Vasai
525,85000000,2350,Dadar East
526,6500000,650,Dahisar
527,18000000,1462,Ghatkopar
528,8500000,676,Ghatkopar
529,125000000,2904,Worli
530,80000000,1500,Breach Candy
531,28800000,1638,Wadala
532,30000000,1701,Wadala
533,45100000,2376,Wadala
534,39200000,2061,Wadala
535,25400000,1431,Wadala
536,15200000,1050,Kandivali West
537,20000000,1260,Andheri East
538,29000000,1404,Goregaon East
539,30000000,1200,Malad East
540,46500000,1413,Worli South Mumbai
541,33400000,2016,Andheri East
542,2035000,574,Asangaon
543,8500000,507,Thane
544,12500000,1151,Koparkhairane Station Road
545,6600000,550,Thane
546,6900000,565,Thane
547,6800000,547,Thane
548,6700000,556,Thane
549,3000000,950,Thane
550,4500000,600,Thane
551,5300000,600,Thane
552,3000000,600,Thane
553,4500000,800,Thane
554,5300000,275,Thane
555,10500000,1050,Koparkhairane Station Road
556,10000000,1155,Koparkhairane Station Road
557,16000000,1350,Sector 17 Ulwe
558,17000000,1760,Kopar Khairane Sector 19A
559,11700000,1650,Koper Khairane
560,7500000,725,Koparkhairane Station Road
561,23000000,1300,Kanjurmarg
562,3000000,275,Thane
563,2000000,275,Thane
564,4500000,1065,Thane
565,8500000,275,Thane
566,3000000,530,Thane
567,8800000,600,Kandivali West
